University,Term open,Date open,Regular date closed,Priority date closed,Major,Note
University of Washington(Seattle),Fall,12/15,02/15,NaN,All,
University of Washington(Seattle),Winter,08/01,09/01,NaN,All,
University of Washington(Seattle),Spring,11/01,12/15,NaN,Engineering;Computer Science,
University of Washington(Seattle),Summer,12/15,02/15,NaN,All,
Washington State University,Fall,NaN,08/07,NaN,All,
Washington State University,Spring,NaN,11/15,NaN,All,
Washington State University,Summer,NaN,04/24,NaN,All,
Washington State University,Summer,NaN,05/22,NaN,All,
Seattle University,Fall,NaN,02/01,NaN,Diagnostic Ultrasound,
Seattle University,Fall,NaN,12/01,NaN,Nursing,
Seattle University,Fall,NaN,08/15,03/01,All,
Seattle University,Winter,NaN,11/01,NaN,All,
Seattle University,Spring,NaN,02/15,NaN,All,
Seattle University,Summer,NaN,05/15,NaN,All,
Whitman College,Fall,NaN,03/01,NaN,All,
Whitman College,Spring,NaN,11/01,NaN,All,
Central Washington University,Fall,NaN,03/01,NaN,All,
Central Washington University,Winter,NaN,11/01,NaN,All,
Central Washington University,Spring,NaN,02/01,NaN,All,
Central Washington University,Summer,NaN,05/31,NaN,All,
Seattle Pacific University,Fall,NaN,07/01,04/01,All,
Seattle Pacific University,Winter,NaN,11/15,NaN,All,
Seattle Pacific University,Spring,NaN,02/01,NaN,All,
Whitworth University,Fall,10/01,07/01,01/15;03/01,All,
Whitworth University,Spring,09/01,12/01,NaN,All,
Pacific Lutheran University,Fall,NaN,07/01,04/01,All,
Pacific Lutheran University,Spring,NaN,12/01,NaN,All,
Gonzaga University,Fall,NaN,06/01,03/01,All,
Gonzaga University,Spring,NaN,11/15,NaN,All,
University of Washington(Tacoma),Fall,NaN,07/31,03/15,All,
University of Washington(Tacoma),Winter,NaN,11/15,10/15,All,
University of Washington(Tacoma),Spring,NaN,02/15,01/15,All,
Heritage University,Fall,NaN,NaN,NaN,All,
Heritage University,Spring,NaN,Nan,NaN,All,
Heritage University,Summer,NaN,Nan,NaN,All,
University of Washington(Bothell),Fall,02/02,06/01,04/01,All,
University of Washington(Bothell),Winter,08/01,10/10,NaN,Computer Science;Software Engineer;Applied Computing,
University of Washington(Bothell),Winter,08/01,10/25,NaN,All,
University of Washington(Bothell),Spring,12/01,01/10,NaN,Computer Science;Software Engineer;Applied Computing,
University of Washington(Bothell),Spring,12/01,02/01,NaN,All,
University of Washington(Bothell),Summer,02/02,05/01,NaN,All,
DigiPen Institute of Technology," Fall",NaN,07/01,11/15;01/15;03/01,All,
Northwest University,Fall,NaN,NaN,NaN,All,
Northwest University,Spring,NaN,NaN,NaN,All,
University of Pudget Sound,Fall,NaN,07/15,03/01,All,
University of Pudget Sound,Spring,NaN,11/11,NaN,All,
Saint Martin's University,Fall,NaN,07/15,NaN,All,
Saint Martin's University,Fall,08/01,02/10,NaN,Nursing,
Saint Martin's University,Spring,08/01,02/10,NaN,Nursing,
Saint Martin's University,Spring,NaN,12/05,NaN,All,
Saint Martin's University,Summer,NaN,04/15,NaN,All,
Walla Walla University,Fall,NaN,NaN,NaN,All,
Walla Walla University,Fall,NaN,03/01,NaN,Nursing,
Walla Walla University,Winter,NaN,NaN,NaN,All,
Walla Walla University,Spring,NaN,NaN,NaN,All,
Walla Walla University,Summer,NaN,NaN,NaN,All,
